workflow,algorithm,seed,makespan,cost,pareto_front_size,hypervolume,avg_utilization_pct,fairness_index,speedup,search_wallclock_ms,sim_wallclock_ms
Montage_100,HEFT,0,101.9105,551.8758,1,15540.3124,59.13,0.9125,5.3314,0,392
Montage_100,Min-Min,0,160.2780,578.5609,1,5874.2459,56.34,0.8894,3.3939,0,78
Montage_100,LIWSA_L0.10,1,103.3240,548.6614,9,18544.1257,56.39,0.8645,5.2584,1266,1325
Montage_100,LIWSA_L0.10,2,108.4510,550.8362,9,18688.4858,54.15,0.8533,5.0118,577,612
Montage_100,LIWSA_L0.10,3,103.5680,545.4923,11,18349.1750,56.26,0.8785,5.2470,495,533
Montage_100,LIWSA_L0.10,4,108.7245,545.7385,9,17672.1344,55.22,0.8878,4.9975,476,511
Montage_100,LIWSA_L0.10,5,112.6090,542.6099,10,18121.5263,47.09,0.7429,4.8244,483,522
Montage_100,LIWSA_L0.30,1,102.0515,552.0102,12,18106.6158,59.06,0.9125,5.3240,636,661
Montage_100,LIWSA_L0.30,2,119.3935,542.3915,17,18468.0137,48.03,0.8244,4.5514,540,562
Montage_100,LIWSA_L0.30,3,104.8775,547.2264,8,18565.7213,56.12,0.8671,5.1799,355,376
Montage_100,LIWSA_L0.30,4,114.1190,541.0151,13,18568.1511,48.64,0.8140,4.7624,348,369
Montage_100,LIWSA_L0.30,5,103.3555,548.7991,8,18272.6191,55.74,0.8544,5.2569,346,360
Montage_100,LIWSA_L0.50,1,108.8260,546.4552,16,18135.9289,53.76,0.8777,4.9915,265,280
Montage_100,LIWSA_L0.50,2,107.3160,549.1443,7,18496.9062,55.62,0.9094,5.0632,276,292
Montage_100,LIWSA_L0.50,3,103.4995,547.1834,9,18541.8438,55.36,0.8543,5.2497,279,297
Montage_100,LIWSA_L0.50,4,103.5270,548.7632,7,18655.3200,56.92,0.8849,5.2490,259,274
Montage_100,LIWSA_L0.50,5,112.6275,550.2977,13,17987.7992,50.86,0.8313,4.8240,339,351
Montage_100,LIWSA_L0.70,1,108.6905,548.8389,19,18005.0827,55.01,0.8911,4.9991,206,222
Montage_100,LIWSA_L0.70,2,105.1130,553.4068,8,18641.1147,58.46,0.9229,5.1684,264,273
Montage_100,LIWSA_L0.70,3,104.6120,546.7922,11,18724.8439,55.99,0.8764,5.1930,205,221
Montage_100,LIWSA_L0.70,4,103.3485,548.6260,6,18181.2019,57.01,0.8878,5.2581,287,302
Montage_100,LIWSA_L0.70,5,103.5915,551.1019,7,18907.8387,58.13,0.9127,5.2462,384,396
Montage_100,LIWSA_L0.90,1,104.1520,550.9399,17,18526.5233,54.63,0.8095,5.2175,241,256
Montage_100,LIWSA_L0.90,2,108.7055,547.0694,17,18288.6033,52.66,0.8422,4.9999,225,240
Montage_100,LIWSA_L0.90,3,103.4570,550.7807,10,19121.9622,57.97,0.9098,5.2522,224,238
Montage_100,LIWSA_L0.90,4,112.6250,544.2981,8,18770.9193,49.94,0.8076,4.8251,122,147
