workflow,algorithm,seed,makespan,cost,pareto_front_size,hypervolume,avg_utilization_pct,fairness_index,speedup,search_wallclock_ms,sim_wallclock_ms
Montage_100,HEFT,0,101.9105,551.8758,1,14773.7249,59.13,0.9125,5.3314,0,371
Montage_100,Min-Min,0,160.2780,578.5609,1,5251.3161,56.34,0.8894,3.3939,0,82
Montage_100,LIWSA-ML,1,113.8500,549.5386,10,18162.1142,52.55,0.9010,4.7710,1177,1243
Montage_100,LIWSA-ML,2,105.1235,549.2255,10,18307.6913,54.89,0.8422,5.1707,523,568
Montage_100,LIWSA-ML,3,112.8475,552.1111,8,18279.8051,54.35,0.8972,4.8150,378,422
Montage_100,LIWSA-ML,4,101.9105,551.8758,13,17422.0838,59.13,0.9125,5.3314,373,399
Montage_100,LIWSA-ML,5,101.9105,551.8758,12,18046.3181,59.13,0.9125,5.3314,381,418
Montage_100,LIWSA-ML-Naive,1,103.3625,548.7166,7,17371.6036,55.11,0.8329,5.2559,396,424
Montage_100,LIWSA-ML-Naive,2,112.4700,551.3987,9,17954.2523,53.50,0.9045,4.8313,497,521
Montage_100,LIWSA-ML-Naive,3,123.5430,551.9327,12,17562.0614,48.75,0.8926,4.3983,330,354
Montage_100,LIWSA-ML-Naive,4,118.0465,545.9758,11,18597.8552,48.99,0.8527,4.6038,287,304
Montage_100,LIWSA-ML-Naive,5,104.0415,545.8261,6,17763.3306,54.95,0.8370,5.2219,308,321
CyberShake_100,HEFT,0,512.2260,3183.5854,1,247872.8680,59.09,0.7096,6.1633,0,26
CyberShake_100,Min-Min,0,715.2585,3249.8389,1,92978.9960,50.88,0.8889,4.4094,0,19
CyberShake_100,LIWSA-ML,1,512.2260,3183.5854,11,1476638.8162,59.09,0.7096,6.1633,387,399
CyberShake_100,LIWSA-ML,2,512.2260,3183.5854,10,1464445.1996,59.09,0.7096,6.1633,384,397
CyberShake_100,LIWSA-ML,3,512.2260,3183.5854,9,1447187.1308,59.09,0.7096,6.1633,393,405
CyberShake_100,LIWSA-ML,4,512.2260,3183.5854,6,1444755.7520,59.09,0.7096,6.1633,375,384
CyberShake_100,LIWSA-ML,5,512.2260,3183.5854,9,1464102.0981,59.09,0.7096,6.1633,347,356
CyberShake_100,LIWSA-ML-Naive,1,512.2260,3183.5854,10,1453769.5544,59.09,0.7096,6.1633,348,367
CyberShake_100,LIWSA-ML-Naive,2,512.2260,3183.5854,15,1454515.6272,59.09,0.7096,6.1633,367,383
CyberShake_100,LIWSA-ML-Naive,3,512.2260,3183.3509,11,1453938.9666,59.05,0.7082,6.1633,348,353
CyberShake_100,LIWSA-ML-Naive,4,512.2260,3183.3877,8,1455367.8317,59.06,0.7089,6.1633,293,305
CyberShake_100,LIWSA-ML-Naive,5,512.2260,3183.5854,13,1449738.5500,59.09,0.7096,6.1633,298,309
Sipht_100,HEFT,0,2350.0945,8309.0314,1,6408349.0281,28.01,0.3904,3.7004,0,672
